Date,Open,High,Low,Close,Adj Close,Volume,open_moving_avg_50
2017-08-25,35.119999,35.41,34.889999,34.939999,32.261723,1189000,35.35999984
2017-08-28,35.209999,35.23,34.77,34.990002,32.307899,913100,35.37099982
2017-08-29,34.32,35.200001,34.27,35.060001,32.37252,1381500,35.3579998
2017-08-30,35.07,35.709999,34.98,35.599998,32.871132,1707200,35.3547998
2017-08-31,35.900002,36.34,35.84,36.200001,33.425137,2357000,35.375599820000005
2017-09-01,36.400002,36.57,36.27,36.389999,33.600571,2154200,35.40959984
2017-09-05,36.099998,36.200001,35.07,35.599998,32.871132,2677300,35.4379998
2017-09-06,35.91,36.09,35.630001,35.919998,33.166603,2617900,35.4543998
2017-09-07,36.09,36.099998,35.709999,35.93,33.175831,2012400,35.4829998
2017-09-08,35.740002,35.990002,35.650002,35.759998,33.018864,1071500,35.50879982
2017-09-11,36.389999,36.939999,36.389999,36.880001,34.053013,1122100,35.537799820000004
2017-09-12,37.080002,37.290001,36.98,37.27,34.413124,1108100,35.59259986
2017-09-13,37.110001,37.349998,37.080002,37.34,34.477749,654000,35.642799919999995
2017-09-14,37.150002,37.380001,37.060001,37.299999,34.440819,630400,35.69619996
2017-09-15,37.209999,37.459999,37.150002,37.419998,34.551617,721700,35.75759996
2017-09-18,37.610001,37.830002,37.450001,37.639999,34.754761,835100,35.83259996
2017-09-19,37.77,37.810001,37.59,37.75,34.856331,386600,35.90479996
2017-09-20,37.810001,37.860001,37.27,37.830002,34.930195,933900,35.976399980000004
2017-09-21,37.73,37.75,37.41,37.509998,34.63472,767900,36.036599960000004
2017-09-22,37.32,37.59,37.310001,37.509998,34.63472,591400,36.08239998
2017-09-25,37.349998,37.549999,36.889999,37.299999,34.440819,1759700,36.12579994
2017-09-26,37.48,37.610001,37.220001,37.349998,34.486984,1117100,36.16279992
2017-09-27,37.689999,37.959999,37.25,37.740002,34.847095,1751700,36.207599880000004
2017-09-28,37.610001,37.919998,37.580002,37.880001,34.976364,931100,36.2429999
2017-09-29,37.849998,38.299999,37.790001,38.23,35.299534,987400,36.2715999
